영화 댓글
"이정재의 연기는 잘나가다가도 슬픈 장면에서는 미세하게 웃는 상 때문에 몰입이 살짝살짝 끊긴다. 그럼에도 영화 자체는 캐릭터 구성이나 탄탄한 연출, 적절한 브금 등 완성도가 뛰어난 편."
"황정민, 이정재, 박성웅. 이 세 이름이 모든 걸 설명해주는 영화였다."
뻔한 스토리를 배우들의 연기력으로 포장하니 너무 재미있다
""
이보다 더 한국형 느와르를 잘 만들 수 있나?
왜 10점 주냐고? 보면 알아!!!
말해뭐해 그냥 느와르 영화 중에 최고. 처음 보는 때로 돌아가고 싶다
와....우....
2편 나오면 100퍼 천만이다
다시봐도 볼때마다 최고
이정재의 연기가 좀 아쉬운건 나뿐인가? 현대극에서 다들 진지 빨고 연기하는데 뭔가 이정재만 감정이 극에 달하는 장면마다 나오는 기교를 넣은듯한 목소리 톤이 좀 오바스럽고 부자연 스러워 보임.. 바둑강사 한테 정보공개 안한다고 화내며 분노하는 씬이나.. 후반부에 바둑학원에서 강과장한테 화내는 씬이나.. 뭔가 사극에서 어울릴법한 목소리 톤이 영화보는 내내 좀 거슬림..
"크으~~ 여자인데도 주기적으로 봄, 잔인하지만 맴찢"
제목이 이상하다 싶었는데 정말 신세계로 들어갔다.ㅎㅎ
600번 넘게 본 영화. 내 술안주. 짱
ㄹ
최민식도 최민식이지만 느와르물에서의 황정민과 박성웅은 정말이지... 대체불가 최고인듯.이미 알려진 스토리 구조를 이렇게 맛깔나게 재포장해낸 감독님에게도 찬사를
8년만에 다시 봐도 재밌다. 이정재 연기 너무 잘함
도대체 몇번을 보는건지..최고..
갈땐 가더라도.... 담배 한대 피고갈 수 있잖아....
""
피와 감정 둘다 선명하다.
처절하게 아름답다. 눈물난다. 그리고… 이정재 너무 멋지다.
최민식 캐릭터설명이 부족한듯.뭘 위해서 그렇게 위험을 감수하면서까지.정의로운 캐릭도 아닌거같고.누가 지시한것도 아니고.ost가 한몫한듯.잔인해서 별2개 뺌ㅜㅜ.배우들 연기력이 좋았음.
10번넘게  본거같아요..  최고
나는 범죄물을 싫어하는 사람인줄 알았는데 아니었나보다. 손에 꼽을 정도로 재밌게 봄.
남자의 가슴을 설레게 하는 영화.  10번 정도 본 거 같다
박성웅이 조연이라는거에 깝놀
""
평점 높아서 봤는데 재미가 없네요. 연기도 좀 어설프고 스토리 진행과정도 탄탄하지 못하고.. 마지막 엔딩도 '뭐지?'라는 생각이 들었고..
완벽 그자체 존잼이다 레알루다가
연변거지 전투력 이 싸이어인 급임.
하... 다시봐도 재밌네요. 황정민이며 이정재며... 모든게 완벽하네요... 또 믿음... 햐...진짜... 너무 멋있는 영화예요!! 여운도 길게 남구요..하...
오늘 또해줘서 밤새 봤다 겁나 재밌다브라더~~~드루와 드루와 명작이다 정말
이 영화는 연출이 어설퍼서그렇지 스토리나 연기는 솔직히 괸장히 좋은 영화다.ㅄ같이 2016년에 시그널 베겼다느 애는 도대체 먼지.2013년에 나온영화인데..먼 시그널 베곘냐..영화 자체는 연출이 조금 어설퍼서 그렇지...10점만점에 8점이상인 영화다
한국도 느와르가 되네?
한국영화중 최고로 미친영화
여잔데 극장에서만 3번봄 ㅋ
맨날보던 그런 반전이 아닌 신선한 반전. 확실히 볼만한 영화
"잘 된 영화는 명장면이 많고,  더 잘 된 영화는 그 명장면의 대사가 많이 유행을 타고 , 거기서 더 잘 된 영화는 그 명장면 그 대사 순간의 음악까지 들린다."
내 최애 영화.. 몇 번을 다시 봤는지..
진짜 한번 본 영화를 왜 또 보지 생각했는데 이 영화를 보고 이해했습니다. 기승전결 완벽하고 멋짐이란게 폭발하는 영화
조폭 미화... 마지막 크레딧 올라갈때 사람죽여놓고 웃으면서 영화보러 가는 두 남자를 보면서 할말을 잃었다. 어떤 의미로 이 영화를 만든 감독이 참 대단하다는 생각이 드는구나. 하도 신세계 신세계 하길래 봤더니...
"이런 장르나 내용 처음 접하는 분들에겐 명작, 나처럼 느와르나 언더커버 많이 본 사람들이 보기엔 괜찮은 영화정도. 스토리가 대충 그려졌지만 연기력과 분위기가 볼만했다. 황정민과 이정재의 과거나 조직내 암투가 더 그려졌다면 좋았겠지만 나름 괜찮게 봤음"
인생영화또보고싶다
"그때는 좋았고, 지금은 글쎄... 박성웅의 발견이었다"
신세계 아저씨 타짜 한국영화 3대장
드뽕 ㅋㅋ 들루와 드루와잉
신세계는 진짜 언제든꺼내봐도 ㅈㄴ재밋당
볼때마다 기록해놓는데 24번째 봤다
내 인생 최고의 한국 영화. 보고 보고 또봐도 재밌음. 신세계2 목빠지게 기다립니다.
Another Movie
와 이걸왜 이제봤을까 ㄹㅇ띵작이네 ㅁㅊ
ㅎㅎㅎㅎ 잘 만들었네.. ㅋ
중구가 시키드냐 ~ 네이버 평점 일정기간 지나면 다시 되네
너무 재밌어요....
OO 존나 쌋다 인생영화
"악마를 보았다 , 신세계보고 우리나라를 이끌 감독중 하나라 생각했는데  최근나오는 박훈정 감독 영화보니신세계, 악마는 그저 배우가 잘 이끌어서 나온 우연한 수작이라 생각이 되더라"
빠바빠바바~빠밤..
아무리봐도 질리지않네 이자성
흠 잡을데 없는 완벽한 영화
한 마디로 끝낸다 한국느와르영화의 대명사
지루할 틈이 없다...
이런영화 또 안나오나....
"어이 부라더, 한마디로 모든걸 말해주는 영화"
방금보자마자 팬티갈아입고 쓴다 지린다 씹바
최고 다시봐도 질리지않는영화
열번이상 봐도 다시 집중해서 보는 유일한 영화
대한민국 최고의 느와르
최고...볼때마다 소름돋음
최고다 정말로 브라더 브라보
마케팅이 아쉬웠던 영화 이런 명작이 500만도 안되다니... 남자라면 인생에서 열번 넘게 돌려보는 누아르 영화가 몇개 있는데 신세계가 탑3 안에 드는 사람 꽤나 있을듯
몇번을 봐도 지리는 영화..2제발 만들어주세요..
평점이 9점대가 아니라서 평점 남겨요
"무간도, 디파티드와 비교하면 개연성, 독창성, 세부적인 연출 등에서 부족한 부분은 많다. 그렇지만 정청의 캐릭터, OST, 사시미 액션 등은 확실한 장점이며, 지적한 부분들도 무간도 디파티드에 비해서 떨어지는 것뿐."
와 리얼 지렸다....
다시봐도 소름르와르영화의 정석  표본
여러번 봐도 재밌는 영화.
각본 연출 연기 끝내주네요!
개명작. 몇번을 봐도 질리지가 않음.
볼 때마다 감탄하는 명작
그냥 킬링 타임 용으로 볼만...
황정민 의리... 겁나 멋있으
10점 눌러놓아야지!
믿고보는 황정민. 역시 신세계
너무너무너무 재밌음. 속편이 필요하오~
출연진 섭외를 너무 잘한 영화
"진짜 명작, 끝까지 긴장하고 보는 영화"
느와르를 가장한 담배 심리학
감독님 뭐하십니까? 빨리 2편을 만들어주세요!!!
닥치고 10점 눌러라 그냥
10번 정도 본 영화는 이 영화가 처음인듯 최고~!
자동차 추격 따돌리고 이정재외딴곳에 대려갔을때  이정재 ㅈ 됬다고 생각했는데  거기서 또 반전이..
신세계는 몇번을 봐도 질리지않고 잼나네요ㅋㅋ이런 한국영화 언제 또 나오나요?
이걸 오늘보다니.. 세상에나
봐도봐도 안질림 황정민 미친존재감bb
따봉을 받을만한 국산 느와르물
진짜느와르범죄드라마영화에나오는우리나라배우들♡♡너무잘한다♡♡♡♡사랑해여ㅠ멋져여♡짇짜개멋있넹ㅋㅋ나의꿈도이뤄졌으면좋게따ㅠㅠ
"정말 몰입하면서 봤다. 배우들의 연기면 연기, 스토리면 스토리 정말 대단한 영화다."
내가 본 가장 완벽한 한국형 느와르..
두말하지 않겠다.... 인생영화다...
최고! 그냥 별 다른 설명이 필요 없을 듯
10점만점에 10점!
무슨 말이 필요한가 다신 안 나올 역대급 느와르
별이모자라다 모두가 인정하는 한국 최고의 느와르
좋은 각본과 뻔한 연출력
최고입니다.10자.
평점 9점대로 올려놔라
이건  어쩔수 없다 10점이다
너무 완벽한 영화라 10점 이하로는 도저히 못주겠다
진짜 짱이다황정민 연기력 말할 것도 없고다만 박성웅이 왜 조연인지 의문
몇번을 봐도 최고다 정말 질리지 않는 유일한 한국 인생영화
몇년전 봤지만 오늘 다시봐도 너무 훌륭하다. 무간도와 견주어도 지지 않을 탄탄한 구성과 연기!! 시리즈가 나왔으면 하는 영화다.
난 이정재에게 한표를 준다. 물론 황정민이 MVP이긴 했지만 수많은 포스를 발하는 주조연들이 영화를 살려줬고 이정재의 소심하고 겁쟁이면서 의리를 지키고 마지막에 결단을 내리는 모습에 보는 이를 이입하게 만드는 현실적인 주인공 역할과 아주 어울렸다
까고싶어도 깔게없다.
느와르 장르중에 최고라고 여긴다. 정말 4명의 남자들의 연기에 몰입되서 시간가는줄 모르고 봤던 영화 몇번 봐도 지루할틈 없고 지겹지 않은 영화 정말 배우들과 탄탄한 스토리가 만들어준 명작이라고 생각한다.
좋은 시나리오에 대배우들 연기력  끝내준다
맨날 뭘 배껴된다고 씨부려 정작 이런스토리 만들지도 못하는놈들이ㅋㅋ
"아니 02년에 나온 무간도를 보고 베꼈으면 구성이라도 더 탄탄해야지... ㅡ,.ㅡ 짱깨가 우리나라 프로그램 베끼면 비난하면서 우리나라는 짱깨거 베끼고 이리 당당하냐? 배우들이 무슨죄냐?"
이중구 내꺼 진짜 너무 사랑함
2편좀 만들어주세요 ㅜ.ㅜ
섬세하게 잘만들어진 영화
가끔 생각나서 찾아보게 되는 영화.대사들이 참 맛깔지다
어설프게 표절한 무간도... 그냥 배껴대는 코리아 영화 수준이 잘들어나는 싸구려 영화
죽기전에 담배하나정도는 괜찮잖아
"하 미쳤다,,, 영화 너무재밌고 연기들 미쳤다..."
10번넘게봐도재밋다 근데 무간도아류작이라는 느낌은 떨쳐낼수가없다 그래도 재밋다
느와르 진짜 안좋아하지만 이건 몇번봐도 재밋어요
이제본다다행이다 이제라도봐서 오년동안 나온영화중에도 젤 낫네
딱 6점 짜리 영화. 재미가 없진 않은데 죄다 홍콩영화서 본 내용. 이게 어딜봐서 한국 영화냐. 한국말로 나온 홍콩 영화지. 특색이 없다.
크 다시봐도 쩐다...
보면볼수록 진국인영화
최고의 영화 ㅠ 가장 좋아하는 영화! 가장 좋아하는 배우들 ㅠ
명대사도 넘쳐나고 느와르 영화를 파게 해준 영화
전설의작품ㅇㅇㅇㅇ응
뒤늦게 보고 4번본 영화.영화관에서 못본게 후회되는 영화.황정민도 최고지만 이정재 감정 눈빛연기는 진짜 대박 짱짱.
드루와가 생각나는 참된영화
이게 팔점구라니 더올라가라
한국 느와르 영화의 최고봉
이런 영화가 천만 넘었어야 했는데...
정말 르와르에선 레전드...  신세계넘어설 르와르는 한동한안나올듯 ㅜ
신세계2 나온다더니 언제나오는겨
ㅠㅠ말이필요없다 걍 황정민 영화..이정재 존멋
빨리 2부 3부 나왔으면
내 기준으로 인생최고 영화ㅋ10점 만점에 10점보다 더주고 싶음
신세계2  언제쯤 볼수있을까??
내생에 최고의영화!!!
아 이검3번4범5번봐도잼잇네.한국 느아르의진수다 비록무간도와 비슷하지만
이스턴 프라미스 +  대부 +  흑사회 +  무간도 =  신세계. 재미는 있지만 독창성이 없고 폭력 묘사도 약하다. 오마쥬라고 하기에도 지나친 짜깁기 영화다. 위의 영화에 없는 건 브로맨스 정도.
내가 왕이될 상인가~난이미 왕이됐는데 왕이될 상이라니!!~~
밥먹을때나 혼술할때 보는데 볼때마다 잼있네요. 한국영화 중에서 황해랑 탑쓰리 안에 드는 영화
다시봐도재미있게볼수있음
"마치 2인극을 보는듯한 장면들이 파노라마친다.  상징은 철저히 이야기 내적으로 제한되어있으며, 그에대한 이해 없이도 충분히 즐길수 있을만큼 절제되어있다. 캐릭터와 극에 대해 생각해본 사람은 신세계의 각본에 대해 감탄할 수 밖에 없을것이다."
후속편 언제 만들어요 감독님 ㅠㅠㅠ
아 신세계2 제작 무산이네요? 그것도 모르고 개속기다럇네 ㅜㅜ
인생 최고의 느와르 영화
최고네요별10개드림
내 생애 역대급 영화..꼰대 안티들아~~~살려는 드릴께~~
"모두 최강의 연기파 배우지만, 박성웅 연기가 인상적임. 박성웅은 그냥 딱 있는 그대로 깡패 보스 같음. 야무지게 잘 만든 영화"
봐도봐도 또봐도 재밌음
오씨엔 지겹도록 나오지만 또 본다
"OCN에서 방영하길래 또 보고 있는데 ,,  어쩔 수 없이 계속 보게됨. 황정민 박성웅 이정재 장관입니다. 한국영화 최고^^"
느와르 빠지게 만드는 영화! 연기 구멍이 하나두 없다
이정재의 내면연기 하나만으로도 믿고 볼만함. 더불어 최민식 황정민 박성웅등 최고의 조연진들의 최고의 연기력. 한국에 다신 이런 느와르 영화 못 나올듯
조선족은 신세계 조선족이 진리
몰입해서 본 영화! 배우들의 연기가 일품
"베꼈는데 재밌어, 극의 긴장감도 좋고"
"다시봐도 꿀잼, 황정민 믿고보는배우"
열댓번 보고 대사 줄줄이 읊던 친오빠 옆에서 봐야지 해놓고 몇년째 못보고 있던 신세계 드디어 봣는데... 왜 그렇게 사람들이 신세계에 열광했는지 절실히 느꼈네요 ㅠㅠ 진짜 재밌고 정청 이자성 최고다 최고..
"볼때마다 소름돋아요,,,ㅜ"
다시봐도 늘 새로운 작품
달콤한 인생을 뛰어 넘는 한국 느와르의 끝판왕~!  이런 영화야 말로 관객의 멱살을 잡고 끌고 가는 몰입도라는 것이다~  박성웅까지의 연기력도 다른 배우에게 안 지니 박성웅이야 말로 숨은 공신이다~
평점 10점? 100점은 줘야한다.
두루와 진짜 최고의 영화 우리나라에 이만한 영화가 또 나올 수 있을까
쵝오 ㅋㅋ 티비에서중간중간 열번은본듯 ㅋ
열번을 넘게봐도 역시 명작입니다
최민식 황정민 이정재 ...
요즘들어 보기드문 스릴 넘치는 명작
정청이 캐릭터는 진짜.. 여운이 엄청나서 티비에서 재방만 해주면 본거 또보고 또 보고 음악이며 연출이며 배우들의 연기며 뭐하나 흠잡을 데 없었다 ㅠㅠ 이걸 스크린으로 봤어야 했는데
정말 최고의 영화! 황정민 최고 ㅠㅠ
배우 스토리 화면 노래 모든게 완벽! 보기전으로 돌아가서 다시 한번 더 보고싶은 영화
모든것이 생동감 넘치고 재미있다.
배우들의 엄청난 연기력과 무간도를 비롯한 여러 영화의 오마쥬를 적절히 배합해 좋은 영화를 만들어냈다.그러나 후속작은 조금 기대가 안간다.
이 영화 진짜 잘만든 영화. 최민식같은 대배우에게 비중을 쏠리지 않게하고 배우들의 미친 연기에 미친 스토리 그리고 미친 BGM...
최민식이 너무 심해서 어느새 이정재편이 되어있었다
정말 최고의 영화다. 무슨 말이 필요한가
한국 범죄 드라마 중 최고의 수작이다.
나 여잔데 이게 내 인생영화
인생영화임ㄷㄷ2편 나오면좋겠음
대부+무간도 짬뽕 느낌이 팍팍 나지만 놀랍게도 똑같지 않다! 결말과 내용은 비슷하다. 그러나 새로운 역할의 캐릭터들을 잘 융합시키고 원래의 캐릭터 성격을 비틀어서 긴장감 넘치는 연출을 만들어냇다.
아직까지 이 이상의 영화를 보지 못했다
제발 2 만들어주세요 제발
한국영화 싫어하는.나도 인정한 영화 타짜 신세계.범죄와의전쟁  디태일한 연출과 개연성 각각의 캐릭터 그리고 최근느낀게 ost의 중요성 ost가 말아먹은 영화 군도 물론 그거외에도 문재가많지만 ㅋ
이 영화 오래 전에 극장에서 본 게 다행이다. 한국영화는 극장에서 잘 안봤는데.
이정재씨 감정연기가 정말 최고였음! 그 걸릴까 말까..식은땀 흐르면서...ㅋ
몆번을 봐도봐도 정말 재미있구려...감독짱
명작이지만 지나치다. 인생영화까진 아니다
홍콩 본가를 뛰어넘은 명작
청불임에도 불구하고 보면 볼수록 명작이다
황정민이 너무 많은 영화에 출연해서조금 식상하긴 한데도 또 보면 정말 매영화마다맛갈나게 연기를 하니까 몰입이 안될수가없음그치만 내기준에선 좀 유치했음
원래 제가 느와르 영화랑 한국 조폭 / 첩보 이런거 진짜 싫어하는데 이 영화는 왜 이렇게 재밌을까요
"한국영화는 너무 조폭영화가 많고중세 전생 신이나 현대시대 전쟁도 아닌데그거보다도 훨 잔인하고 잔혹하고 징그럽게 사람 죽이기만 하고 비인간적이다.이것 또한 한국사회의 한 단면이라 그런건지 몰겠지만, 어느 나라 영화보다 훨 적나라하고 잔인하고사악하다"
와 진짜 잼남. 이런영화 또 없습니다.
볼때마다 재밌어  끝까지 보게되는영화.
무간도의 색이 너무 진하긴 하지만 이 정도면 훌륭한 느와르 영화다.
훌륭들하시고 감사합니다
우리나라 최고의 영화중 하나
감독은 내년이 지나기 전에 프리퀄을 뱉으시오
"스토리, 배우들의 연기력, 몰입도, 결말 등 참 잘 만든 작품 같아요. OST와 어우러지는 전개가 멋집니다."
뻔한 스토리 대사 노잼 깡패미화영화ㅋㅋ우리나라영화는 깡패나 여자안넣으면 흥행안되냐 볼건 배우연기력정도
크흐 오래만에 다시 봤는데 역시는 역시다 신세계를 따라올영화는없다 진짜
진짜 미쳤다....이런영화를 봤다는 것이 행복하다...100번은 더볼 수 있을 듯
무간도랑 비슷하지만 더 재밌는건 사실 멋진 배우들의 향연 잔인하고 때로는 촌스럽지만 왜 세련됨도 함께 느껴지는 걸까
"영화 스케일 , 연기력 , 배경 , 긴장감 , 내용 모두모두 최고입니다!!"
"박훈정감독영화는분위기와연출을위해서얼마나많은생각을했는지알수있지..물론스토리상허술한부분도있고연출이과하다싶은부분도있고,영화라지만조직이뭐이리허술한가싶었지만신세계는남자들이좋아할수밖에없네ㅋㅋ지금까지황정민연기한캐릭터중가장기억에남을테고이정재같은남자가봐도너무매렸있었다"
3번 넘게 본건이게 처음임
그냥 명작 방훈정영화는 진짜 재미있다
나에게 언제나 최고의 영화!
모는것이 최고다  황정민 연기 인상적
우리 마산형님 황정민!!!!
보면 볼수록 노련함이 담겨있다.
이영화의 가장큰장점은 군더더기가 없다는점다크나이트 같이
와 반전에 반전.. 대박
언제 봐도 소오름 ㅎ 생각난김에 또 볼까
내 인생에 열손가락안에 꼽는 명작..   이 영화이후로 감독에 대한 기대가컷는데... 점점 산으로 가는듯..
영화 연기 아주  훌륭하지만 무간도 표절은 빼박이고 3부작까지 표절했으면 빨리빨리 영화찍어라 감독아 마녀같은 OO같은 영화 찍지말고
연기 구멍이 없다 지금 봐도 촌스럽지 않다
왜 이제 봤을까..극찬!
몇번을 봐도 명작인 유일한 조폭 영화
오늘로써 신세계 케이블방송해준거 한 30번은 본거같다 결론은 볼때마다 새롭고 정말 명작 수작 이런영화 또나올수있을까 1번보지말고 10번이상봐라 볼때마다 감탄한다
평점이 낮아 너무너무너무
다음편꼭봐왔음좋겠어요
금연중이면 보면 안되는영화
진짜 미칠듯이 잘 만든 영화
제발 신세계2 만들어주세요 ㅜㅡㅜ
무간도 짭퉁 영화. 부끄러운지 알아야지
오늘 또 봤는데 명작이네
리얼 이게재미없다고 하는사람들은 영화볼줄모름
잘쳐줘야 평작인데 심하게 과대평가 됐다. 솔직히 이 영화가 한국영화의 최상급 명작인게 더 우습지 않냐? 그럼 한국영화는 앞으로 망길 뿐인데? 다시보면 특정 대사들에 너무 힘이 들어갔고 단순 캐릭터의 충돌 연기력 뿐. 이야기 플롯이나 주제는  엉망이다.
내 인생 최고의 느와르이자 영화
이제 2탄 나와야 하는거 아니오??
한국영화에서 이정도면 10점 만점.
기억에 남는 영화 ㄷㄷㄷ
"잔인한, 조폭영화 싫어하지만 재밌게 잘 봤어요. 연출 스토리 다 좋았어요"
드루와 일루드루와.. 크 지금봐도 오져
아저씨  다음으로   한국영화 중  볼만함
역대급 ..조폭영화의 레전드
신세계2는 안나오는거요? 거 너무한거 아니요?
대단하다. 선과 악은 결국 존재하지 않는다. 매우 철학적 영화.
무간도랑 비교안되게 신세계가 재밌음. 모두 다 대박이지만.. 황정민 당신은 도데체... 여운이 너무 남음 ㅠ
노잼...남자들은 이런거 왜좋아하지
의리 ㅠ 황정민 이정재 짱입니다
"이성과 동지애, 그 사이 어딘가에서."
정말 재미있었습니다.
보고 또 봐도 최고...
요즘 본 영화중에 최고다
분위기에 어울리지 않게 섹스신이 단 한개도 없다 그래서 5점준다
그들은 바라던 신세계에 도달하지 못했다.
진짜 인생영화다...
인생영화 ....ㅡ..
인생영화 수십번을 봤다
정말....신세계를 봤다!
몇번을 다시 봐도 영화가 끝나고도 일어날 수가 없다
몇번을 봐도 긴장감이 대단함
한국 느와르의 수작~~~
재미있게 잘 봤습니다.
마녀같은 B급 SF액션말고 신세계2 프리퀄접고 시퀄이라도 만들어주세요
다시봐도 5점입니다 ㅎ
연기와 스토리 연출 모든 것이 완벽한 영화
진짜 재밌어요 최고에요~
Very disappointing.
보고 또 봐도 명작입니다.
너 나랑 일 하나 같이하자.
배우 음악 스토리 뭐 하나 버릴게 없네
잼있어요^^20OOO첫댓글
조폭미화영화..ㅋㅋ
진짜 여러번봐도 안질린다
"처음 볼 때 졸린 상태로 조조로 봐서 그저그런 조폭 영화로 치부했는데, 보면 볼 수록 작품.. 한국 느와르에선 이거랑 달콤한 인생이 끝내줌."
한국형 누아르물의 역사에 한획배우들 연기가 연기를 하고있다는 생각이 전혀 안들만큼 일품이다
방금 6번째 봤는데 볼때마다 새로운 느낌이다. 또 보고싶다. 뭐라 평할것도 없이 최고다. 평점 9점 만들라고 쓴다.
음  딱  무간도 애기수준?  홍콩 클라스 따라할라믄 적당히 따라해야지   소름돋앗다  어설퍼서 ㅋㅋㅋㅋ
몇번봐도 잼있는 한국영화입니다.
타들어가는 담배...이정재의 양복...그리고 마지막 웃는 씬까지 정말 소름돋게 좋았습니다. 영화에서 디테일이 굉장히 중요하구나 또 한번 느끼고 갑니다. 개인적으로 정청x자성의 케미가 영화의 재미에 큰 몫을 했다고 봅니당ㅎㅎ
잔혹하기만 했다면 이렇게 잔상이 남지 않겠지.
미친 x들 범죄 영화에나 감동을 받냐? 폭력장면만 잔인하고 리얼하고 예술성은 없고.. 그러나 현실 사법부 문제를 극화 시킨 구성은 좋다 그런데 잔인하지 않으면 표현이 안되나?
이명작을 죽기전에 봐서 이제 죽어도 여한이 없습니다 감독님 감사합니다.
처음 봤을때의 그 충격과 여운은 잊혀지지 않는다 국내/외국 영화 모두 통틀어서 온몸에 소름돋았던 갓띵작 영화
느와르 영화 중 재미로는 최고
이기는 놈이 장땡이네!
"모든 배우들의 연기부터 완벽했고 스토리,액션,반전 모든게 완벽 그 자체였다. 영화관에서 못본게 한인데 제발 재개봉 해줬으면..ㅠㅠㅠ"
역시 다시봐도 멋지네!!
이 영화 왜 이중구가 조연이냐? 주연이지
황정민 10점. 박성웅 10점. 이정재 10점별 늘려야 한다. 대한민국 남자 인생영화
...말이 필요한가!!!
O S T  만으로도 레전드
왠만한 한국영화중에서 이 영화 뛰어넘을 잠품은 없을듯
멋져브러 브라더스 덜덜하네요
보면 볼수록 감탄스럽다...
처음 봤을때 그 느낌으로 돌아가고싶다 진짜 재밌게 본 영화
늘 봐도 멋있는 영화...
현재 20OOO 7월 아직까지 한국 영화중 신세계 뛰어넘는건 없다
최고 그냥봐야됨 어떤것도 다시보기 잘안하는데 신세계는 클레멘타인만큼 본듯
충무로가 이런 조폭 영화만 계속 만들어준다면 100년 깡패영화 찍어도 환영이다
개띵작ㅋㅋㅋㅋ하나같이 너무 재밌음
재미있잖아. 정말로 재미있어
범죄도시 범죄와의전쟁 신세계 친구  레전드 한국영화  유행어 제조기
몰입감 개오짐 스릴감 개오짐 캐스팅 개오짐
시대의 개명작에 평점을 안줬었네요 띵작!!!
또 봐도 재밌어요 마지막 이정재표정과 황정민 나 감당할수있겄냐 기억에 남네요
도대체 뭐가 역대급이라는건지 하도 신세계신세계 하길래 봤더니 욕만 들리고 죽이는거밖에ㅡㅡ보는내내 거부감들고 역겨웟음 황정민이 그나마 연기력 살려서 중간중간 터지는건 있었는데 걍살인합리화 조폭영화지 저따구로 경찰들 죽이는게 말이되냐 국가를 OO로보나
신세계 0으로 프리퀄 하고 신세계 2로 공권력의 승리하면 완벽할듯.
진짜 이정도면 내부자들하고 같이 청불영화에서 역대급인듯
